section,specId,previewSlotName,formalReferenceName,referenceOnly,canWriteFormalUi,devOnly,isEnabled,primaryMetric,contract
BoardGrid,battle_page_view_spec_v04_readonly,BoardGridPreview,V02FormationGridFrame,True,False,True,False,800x800,Use battle-board scale and placement affordance as a V04 preview slot only.
ItemTray,battle_page_view_spec_v04_readonly,ItemTrayPreview,V03BattlePrepareItemTrayRoot,True,False,True,False,5x8 slots=40,"Use the battle item tray as a V04 grid inventory preview language. 5x8, visibleRows=5, scroll=True."
CategoryTabs,battle_page_view_spec_v04_readonly,ItemTrayCategoryTabs,ItemTrayCategoryTabs,True,False,True,False,categories=6,Category filter tabs: All/Talisman/Tool/Material/Consumable/Special.
SelectedItemInfo,battle_page_view_spec_v04_readonly,SelectedItemInfo,Item tooltip / selected item info language,True,False,True,False,slot=SelectedItemInfo,"Show selected item name, tags, shape, affix summary, and upgrade/placement hints in V04 only."
PlacementFeedback,battle_page_view_spec_v04_readonly,PlacementFeedback,Battle prepare placement feedback language,True,False,True,False,states=6,Report placement legality and Build readiness hints without moving formal board objects. states=CanPlace/OutOfBounds/Overlap/MissingEnergy/ShapeRotated/SynergyChanged.
ActionButtons,battle_page_view_spec_v04_readonly,DevOnlyControlBar,V03BattleStateButton / V03PrepareToggleButton,True,False,True,False,actions=5,Action affordances: EnterPrepare/ContinueBattle/RunSimulation/ResetPreview/ExportReport.
DataPanelDock,battle_page_view_spec_v04_readonly,BuildSandboxDataPanelDock,None,True,False,True,False,slots=6,Dock binds V04 data panels only: BuildSummaryPanelSlot/SynergyPanelSlot/ShapeOccupancyPanelSlot/AffixModifierPanelSlot/ProblemReadinessPanelSlot/SimulationResultPanelSlot.
BattleUiReuse,battle_page_view_spec_v04_readonly,UnifiedBattleFeedbackLanguage,Existing battle feedback language,True,False,True,False,channels=5,"Reuse channels=5, dedicatedPanels=False."
DeveloperTuningPanel,battle_page_view_spec_v04_readonly,BuildSandboxDataPanelDock,None,True,False,True,False,fields=8,"Developer fields=8, playerChineseOnly=True, englishKeysPlayerVisible=False."
PlayerHintMasking,battle_page_view_spec_v04_readonly,PlayerHintPreview,None,True,False,True,False,rules=6,"Masking rules=6, playerChineseOnly=True, fullAnswersPlayerVisible=False."
