bossProblemId,bossName,ready,minimumKeysRequired,keyCount,satisfiedKeyCount,keyId,keyCategory,requirementId,problemAttribute,requiredScore,observedScore,satisfied,failureReasons,recommendedActions,dropBiasIds,weaknessWindowIds
dev_boss_black_furnace_shell,黑炉护壳师,True,3,4,3,boss_black_shell_synergy,羁绊钥匙,jing_lei_break,BreakPower,3,2,False,,,drop_bias_black_furnace_shell_01;drop_bias_black_furnace_shell_02;drop_bias_black_furnace_shell_03,weak_black_shell_break_3
dev_boss_black_furnace_shell,黑炉护壳师,True,3,4,3,boss_black_shell_item,关键道具钥匙,thunder_sword,BreakPower,2,2,True,,,drop_bias_black_furnace_shell_01;drop_bias_black_furnace_shell_02;drop_bias_black_furnace_shell_03,weak_black_shell_break_3
dev_boss_black_furnace_shell,黑炉护壳师,True,3,4,3,boss_black_shell_affix,关键词条钥匙,affix_break_boost,BurstWindow,2,2,True,,,drop_bias_black_furnace_shell_01;drop_bias_black_furnace_shell_02;drop_bias_black_furnace_shell_03,weak_black_shell_break_3
dev_boss_black_furnace_shell,黑炉护壳师,True,3,4,3,boss_black_shell_energy,供能钥匙,powered_chain,EnergyStability,2,2,True,,,drop_bias_black_furnace_shell_01;drop_bias_black_furnace_shell_02;drop_bias_black_furnace_shell_03,weak_black_shell_break_3
dev_boss_dirty_dream_mother,秽签梦母,True,3,4,4,boss_dirty_mother_synergy,羁绊钥匙,jing_e_cleanse,CleansePower,3,3,True,,,drop_bias_dirty_dream_mother_01;drop_bias_dirty_dream_mother_02;drop_bias_dirty_dream_mother_03,weak_dirty_mother_cleanse_3
dev_boss_dirty_dream_mother,秽签梦母,True,3,4,4,boss_dirty_mother_item,关键道具钥匙,purifying_seal,CleansePower,2,2,True,,,drop_bias_dirty_dream_mother_01;drop_bias_dirty_dream_mother_02;drop_bias_dirty_dream_mother_03,weak_dirty_mother_cleanse_3
dev_boss_dirty_dream_mother,秽签梦母,True,3,4,4,boss_dirty_mother_attribute,破题属性钥匙,cleanse_counter,CleansePower,3,3,True,,,drop_bias_dirty_dream_mother_01;drop_bias_dirty_dream_mother_02;drop_bias_dirty_dream_mother_03,weak_dirty_mother_cleanse_3
dev_boss_dirty_dream_mother,秽签梦母,True,3,4,4,boss_dirty_mother_control,关键词条钥匙,affix_debuff_counter,ControlPower,1,1,True,,,drop_bias_dirty_dream_mother_01;drop_bias_dirty_dream_mother_02;drop_bias_dirty_dream_mother_03,weak_dirty_mother_cleanse_3
dev_boss_spirit_thief_core,偷灵炉心,True,3,4,3,boss_spirit_core_synergy,羁绊钥匙,ju_neng_energy,EnergyStability,3,2,False,,,drop_bias_spirit_core_01;drop_bias_spirit_core_02;drop_bias_spirit_core_03,weak_spirit_core_interrupt
dev_boss_spirit_thief_core,偷灵炉心,True,3,4,3,boss_spirit_core_control,羁绊钥匙,zhen_hun_control,ControlPower,2,2,True,,,drop_bias_spirit_core_01;drop_bias_spirit_core_02;drop_bias_spirit_core_03,weak_spirit_core_interrupt
dev_boss_spirit_thief_core,偷灵炉心,True,3,4,3,boss_spirit_core_placement,摆放形态钥匙,compact_power_chain,EnergyStability,2,2,True,,,drop_bias_spirit_core_01;drop_bias_spirit_core_02;drop_bias_spirit_core_03,weak_spirit_core_interrupt
dev_boss_spirit_thief_core,偷灵炉心,True,3,4,3,boss_spirit_core_affix,关键词条钥匙,affix_powered_chain,BurstWindow,1,1,True,,,drop_bias_spirit_core_01;drop_bias_spirit_core_02;drop_bias_spirit_core_03,weak_spirit_core_interrupt
dev_boss_bronze_formation_general,叩阵铜将,True,3,4,4,boss_bronze_general_synergy,羁绊钥匙,hu_zhen_guard,GuardPower,3,3,True,,,drop_bias_bronze_general_01;drop_bias_bronze_general_02;drop_bias_bronze_general_03,weak_bronze_general_counter
dev_boss_bronze_formation_general,叩阵铜将,True,3,4,4,boss_bronze_general_item,关键道具钥匙,ward_plate,GuardPower,2,2,True,,,drop_bias_bronze_general_01;drop_bias_bronze_general_02;drop_bias_bronze_general_03,weak_bronze_general_counter
dev_boss_bronze_formation_general,叩阵铜将,True,3,4,4,boss_bronze_general_shape,摆放形态钥匙,formation_anchor,PlacementShape,2,2,True,,,drop_bias_bronze_general_01;drop_bias_bronze_general_02;drop_bias_bronze_general_03,weak_bronze_general_counter
dev_boss_bronze_formation_general,叩阵铜将,True,3,4,4,boss_bronze_general_energy,供能钥匙,stable_guard_chain,EnergyStability,2,2,True,,,drop_bias_bronze_general_01;drop_bias_bronze_general_02;drop_bias_bronze_general_03,weak_bronze_general_counter
dev_boss_paper_faces,纸人千面阵,True,3,4,3,boss_paper_faces_synergy,羁绊钥匙,li_huo_clear,ClearPower,3,2,False,,,drop_bias_paper_faces_01;drop_bias_paper_faces_02;drop_bias_paper_faces_03,weak_paper_faces_clear_all
dev_boss_paper_faces,纸人千面阵,True,3,4,3,boss_paper_faces_item,关键道具钥匙,fire_talisman,ClearPower,2,2,True,,,drop_bias_paper_faces_01;drop_bias_paper_faces_02;drop_bias_paper_faces_03,weak_paper_faces_clear_all
dev_boss_paper_faces,纸人千面阵,True,3,4,3,boss_paper_faces_affix,关键词条钥匙,affix_chain_reaction,BurstWindow,2,2,True,,,drop_bias_paper_faces_01;drop_bias_paper_faces_02;drop_bias_paper_faces_03,weak_paper_faces_clear_all
dev_boss_paper_faces,纸人千面阵,True,3,4,3,boss_paper_faces_control,破题属性钥匙,summon_control,ControlPower,1,1,True,,,drop_bias_paper_faces_01;drop_bias_paper_faces_02;drop_bias_paper_faces_03,weak_paper_faces_clear_all
dev_boss_black_furnace_complex_eye,黑炉复合阵眼,False,3,5,2,boss_complex_eye_synergy,羁绊钥匙,mixed_build_core,BreakPower,3,2,False,毕业供能不稳: 先补完整供能回路，再补其他短板。;综合钥匙缺口: 毕业检查需要同时覆盖破盾、净化、控制、护阵、供能、清场和爆发。,完整供能回路是毕业检查底线。;核心道具组要同时覆盖清场和破盾。;综合 Build 至少要有一个主破题羁绊。,drop_bias_complex_eye_01;drop_bias_complex_eye_02;drop_bias_complex_eye_03,weak_complex_eye_counter_loop
dev_boss_black_furnace_complex_eye,黑炉复合阵眼,False,3,5,2,boss_complex_eye_item,关键道具钥匙,core_talisman_set,ClearPower,3,2,False,毕业供能不稳: 先补完整供能回路，再补其他短板。;综合钥匙缺口: 毕业检查需要同时覆盖破盾、净化、控制、护阵、供能、清场和爆发。,完整供能回路是毕业检查底线。;核心道具组要同时覆盖清场和破盾。;综合 Build 至少要有一个主破题羁绊。,drop_bias_complex_eye_01;drop_bias_complex_eye_02;drop_bias_complex_eye_03,weak_complex_eye_counter_loop
dev_boss_black_furnace_complex_eye,黑炉复合阵眼,False,3,5,2,boss_complex_eye_affix,关键词条钥匙,affix_orange_core,BurstWindow,2,2,True,毕业供能不稳: 先补完整供能回路，再补其他短板。;综合钥匙缺口: 毕业检查需要同时覆盖破盾、净化、控制、护阵、供能、清场和爆发。,完整供能回路是毕业检查底线。;核心道具组要同时覆盖清场和破盾。;综合 Build 至少要有一个主破题羁绊。,drop_bias_complex_eye_01;drop_bias_complex_eye_02;drop_bias_complex_eye_03,weak_complex_eye_counter_loop
dev_boss_black_furnace_complex_eye,黑炉复合阵眼,False,3,5,2,boss_complex_eye_shape,摆放形态钥匙,stable_compact_shape,GuardPower,2,2,True,毕业供能不稳: 先补完整供能回路，再补其他短板。;综合钥匙缺口: 毕业检查需要同时覆盖破盾、净化、控制、护阵、供能、清场和爆发。,完整供能回路是毕业检查底线。;核心道具组要同时覆盖清场和破盾。;综合 Build 至少要有一个主破题羁绊。,drop_bias_complex_eye_01;drop_bias_complex_eye_02;drop_bias_complex_eye_03,weak_complex_eye_counter_loop
dev_boss_black_furnace_complex_eye,黑炉复合阵眼,False,3,5,2,boss_complex_eye_energy,供能钥匙,full_power_loop,EnergyStability,3,2,False,毕业供能不稳: 先补完整供能回路，再补其他短板。;综合钥匙缺口: 毕业检查需要同时覆盖破盾、净化、控制、护阵、供能、清场和爆发。,完整供能回路是毕业检查底线。;核心道具组要同时覆盖清场和破盾。;综合 Build 至少要有一个主破题羁绊。,drop_bias_complex_eye_01;drop_bias_complex_eye_02;drop_bias_complex_eye_03,weak_complex_eye_counter_loop
