problemType,displayName,pressureType,problemSummary,hardSolutionTags,softSolutionTags,validatedBuildTags,failureHintId,failureHint,recommendedAction,devOnly,isEnabled
dev_enemy_shield_problem,护盾,layered_shield,层叠护盾要求稳定破盾。,BreakPower;ThunderChain,AffixBreakBoost;GuardStall,jing_lei_break;black_furnace_shell,hint_enemy_shield_break,补惊雷破盾、破甲词条或短窗爆发。,优先补 BreakPower，并确认关键道具摆放在供能链上。,True,False
dev_enemy_swarm_problem,群怪,swarm_pressure,多目标召唤要求清场和连锁。,ClearPower;ChainReaction,BurstWindow;ControlPower,li_huo_clear;paper_faces,hint_enemy_swarm_clear,补离火清场、连锁或短冷却词条。,优先补 ClearPower，并避免单点爆发被召唤物分摊。,True,False
dev_enemy_poison_burn_problem,毒 / 燃,dot_and_debuff,持续污秽和燃烧要求净化或反制。,CleansePower;DebuffCounter,GuardPower;EnergyStability,jing_e_cleanse;dirty_dream_mother,hint_enemy_dot_cleanse,补净厄、清污词条或护阵承伤。,优先补 CleansePower，再用护阵拖过污染峰值。,True,False
dev_enemy_spirit_thief_problem,偷灵,energy_drain,偷灵会切断供能节奏。,EnergyStability;SpiritLock,ControlPower;PlacementShape,ju_neng_energy;spirit_thief_core,hint_enemy_energy_stability,补聚能、镇魂或缩短关键道具供能链。,先保护核心供能点，再补反制窗口。,True,False
dev_enemy_seal_problem,封符,seal_lock,封符会压制关键符箓触发。,ControlPower;CleansePower,BurstWindow;GuardPower,zhen_hun_control;dirty_dream_mother,hint_enemy_seal_unlock,补镇魂打断或净厄解封。,优先处理封符源头，避免核心符箓被锁到窗口结束。,True,False
dev_enemy_burst_problem,高爆发,burst_spike,短时间高压要求护阵或先手控制。,GuardPower;ControlPower,BurstWindow;EnergyStability,hu_zhen_guard;bronze_formation_general,hint_enemy_burst_guard,补护阵、减伤词条或先手镇魂。,用护阵挡第一波，再用爆发窗口反打。,True,False
dev_enemy_caster_problem,施法,long_cast,读条施法要求打断或沉默。,ControlPower;InterruptTiming,BurstWindow;CleansePower,zhen_hun_control;spirit_thief_core,hint_enemy_caster_interrupt,补镇魂、控制词条或在施法前压低血线。,围绕施法读条安排镇魂窗口，不要让控制断档。,True,False
dev_enemy_thick_blood_problem,厚血,high_health,厚血拖长战斗，要求持续输出或破防。,BreakPower;SustainedDamage,ClearPower;EnergyStability,black_furnace_shell;li_huo_clear,hint_enemy_thick_blood,补破防、持续离火或供能稳定。,优先补持续输出，再看是否需要破防词条。,True,False
dev_enemy_polluted_tile_problem,污染格,polluted_tile,污染格会限制摆放和关键阵眼。,CleansePower;PlacementShape,GuardPower;EnergyStability,jing_e_cleanse;complex_eye_exam,hint_enemy_polluted_tile,补净化次数，或调整摆放避开污染位。,先清关键阵眼附近污染，再补形态稳定。,True,False
dev_enemy_formation_eye_problem,阵眼干扰,formation_eye_jam,阵眼干扰会破坏摆放和供能。,PlacementShape;EnergyStability,GuardPower;ControlPower,ju_neng_energy;bronze_formation_general,hint_enemy_formation_eye,补供能链、护阵或调整核心符箓形态。,把核心符箓移回稳定供能区，并用护阵挡住干扰波。,True,False
